Hugo_Symbol	Entrez_Gene_Id	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01
AACS	65985	0.6508	0.7262	-1.2677	-0.8394	-0.9981	-0.0296	0.8151	0.171	-0.3876	-1.4682
AACSL	729522	-0.8108	-0.414	-1.5495	-0.3173	-1.5495	-1.5495	-1.5495	0.5698	-0.3846	-0.974
AADAC	13	1.2846	-0.7777	-1.7985	0.5166	0.1801	-0.3989	0.3701	0.2664	0.6106	0.6951
AADACL2	344752	-1.4538	-1.4538	-1.4538	-1.4538	-1.4538	-1.4538	-1.4538	-1.4538	-1.4538	-0.7331
AADACL3	126767	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694	-2.6694
AADACL4	343066	-0.6735	-1.852	-1.852	-1.852	-1.852	-1.852	-1.852	-1.852	-1.852	-1.852
AADAT	51166	-1.4504	0.3811	-0.1059	0.459	0.5647	-0.039	0.6773	0.3296	-0.7656	-2.2705
AAGAB	79719	0.3927	0.9792	-0.3824	1.2507	0.1842	0.7546	-1.647	0.2193	-0.77	-0.5845
AAK1	22848	-0.3536	-0.0046	0.1018	-1.0857	0.1047	-0.2438	-0.5856	0.2497	-0.1553	1.442
AAMP	14	0.9282	-0.1647	-1.0582	0.499	-0.6452	0.3208	0.8292	-0.4917	1.1437	1.7626
AANAT	15	-1.923	0.0682	2.3122	-0.3068	-0.1466	-0.7371	-1.923	-0.1568	-0.3951	3.7958
AARS	16	-0.6529	0.0662	-0.4243	-0.4031	-0.3626	-0.6579	-0.538	0.2072	-0.351	0.0878
AARS2	57505	-0.0156	-0.6553	-0.7567	0.2973	-0.5609	0.2646	-0.0417	1.365	-0.4531	-0.1553
AARSD1	80755	-0.3455	-0.8715	-0.5638	-0.0501	0.4261	-0.2541	0.0104	-0.6784	-0.3989	1.1465
AASDH	132949	-0.2063	-0.2658	-1.9168	0.2574	-0.8653	1.2417	0.3606	0.0559	-0.6183	1.4146
AASDHPPT	60496	-1.4293	-0.6092	0.2269	0.3615	0.4859	-0.4904	-0.9373	-0.1453	-1.0966	-0.2735
AASS	10157	-0.0145	0.1771	-1.0059	-0.467	0.233	0.7743	-0.2417	0.3309	0.5821	-0.6567
AATF	26574	0.818	-0.2955	-0.1407	-0.592	-0.0309	-0.2841	-0.1452	-0.5969	0.1695	1.3715
AATK	9625	1.3198	-0.0365	-0.5852	0.142	0.3005	0.4415	0.7404	-0.1937	0.6646	-1.4227
ABAT	18	0.2225	0.1821	-0.5432	-0.4888	0.2158	-1.291	-0.3195	0.5544	0.7089	-1.3164
ABCA10	10349	-1.0557	-0.5669	-0.7818	-0.1764	0.2317	1.7908	-0.8946	0.5604	-1.3736	-0.7803
ABCA1	19	-1.7954	-1.067	-0.3695	-0.579	-0.8354	0.3926	-0.2288	0.1559	-0.8792	-1.2865
ABCA11P	79963	-0.7998	-0.9881	-0.419	0.3669	-0.2555	0.7087	0.0407	0.1787	0.3458	0.6931
ABCA12	26154	-1.6721	0.4979	1.0376	1.0238	0.4152	1.6315	0.884	0.6761	-0.233	0.2462
ABCA13	154664	1.4021	-0.0088	1.7623	1.264	0.6017	1.116	-0.1104	1.3255	-0.3052	0.7781
ABCA17P	650655	-0.9131	0.557	-0.3541	-2.3405	-0.4429	0.4845	1.9397	0.0904	0.0716	1.336
ABCA2	20	-0.3046	0.3499	-0.0028	-0.9508	-0.9224	0.6719	0.5598	-0.3213	0.0701	2.0177
ABCA3	21	0.6374	0.3871	-1.0652	-1.1517	0.2511	-0.9603	-0.6829	0.6234	0.1573	0.0524
ABCA4	24	-0.9321	-1.036	1.0768	1.8235	0.4702	0.0522	-0.9702	1.1859	-0.8512	1.7282
ABCA5	23461	-0.5234	0.3804	-0.9483	-1.0556	0.206	-0.0338	-1.1209	0.2132	-0.108	-0.2841
ABCA6	23460	0.6605	-0.6703	-0.8377	-0.1553	0.5264	1.6779	-0.4823	0.7145	-0.3259	1.9331
ABCA7	10347	-0.1374	0.3634	1.0726	1.1379	-0.2812	0.4414	0.9726	0.6384	1.3209	0.6856
ABCA8	10351	-0.2446	-0.3679	-0.28	0.1612	-0.5099	1.2012	-1.2857	0.4448	-0.5269	-1.8791
ABCA9	10350	0.1994	0.0103	-0.5094	-0.3422	0.5804	1.6853	-0.6339	0.9738	-0.3728	-0.1728
ABCB10	23456	-0.6147	-0.8687	-0.7645	-0.5493	-0.5364	0.1435	-0.4854	0.4645	0.2856	-2.2905
ABCB11	8647	-0.8676	-0.7583	-1.0298	-0.6681	-0.1817	0.1308	-0.9929	0.0993	-0.5425	-1.3221
ABCB1	5243	0.2465	0.4189	-1.2564	-1.529	0.5854	-0.6426	-1.0091	0.3865	0.1766	-1.9656
ABCB4	5244	-0.3628	-0.6877	-1.3986	0.0945	-1.1942	0.9216	-0.0659	-0.6394	-1.1307	-0.5797
ABCB5	340273	0.1345	-1.5181	-0.8386	1.9564	1.4409	-0.0543	-1.298	-0.5796	-0.5019	-1.1916
ABCB6	10058	-0.8955	0.7718	-0.2024	0.1891	-0.4989	-0.1846	-0.083	0.0416	0.5112	0.1927
ABCB7	22	-0.0819	-0.9062	-1.2048	-1.5176	0.6181	0.0713	-0.3958	0.5337	-0.2956	1.2637
ABCB8	11194	0.0328	-0.2339	0.7851	0.1107	0.0981	-0.3943	0.9337	0.1739	0.4458	-2.2785
ABCB9	23457	0.5189	-0.6737	2.048	-2.1953	-0.2934	0.3283	0.5093	0.255	-0.8483	-0.1355
ABCC10	89845	-0.0937	0.3839	0.3777	0.2933	-0.2428	-0.1539	1.6113	1.3413	0.9725	-1.0208
ABCC11	85320	1.499	0.4092	-1.7287	5.1348	-0.8636	-0.7643	-0.4849	1.1108	0.0534	1.2111
ABCC12	94160	-0.5902	-1.0798	-1.0798	-0.2631	-1.0798	-1.0798	-1.0798	-0.4195	-1.0798	-1.0798
ABCC13	150000	-1.4778	-1.4778	-1.4778	0.2262	-1.4778	-1.4778	-1.4778	-1.4778	0.4299	-0.7841
ABCC1	4363	-0.8492	0.0999	-0.3718	0.6894	-0.2852	-1.3078	1.2429	0.4486	0.3206	0.7544
ABCC2	1244	-0.8052	-0.5127	-1.236	-0.1047	-0.4117	0.1313	-0.0357	0.4295	-0.7438	-0.649
ABCC3	8714	0.6602	0.5858	-1.5157	0.405	0.4669	0.5034	0.574	0.4652	0.6023	-1.1452
ABCC4	10257	-0.5844	-0.2551	-1.6092	0.0086	-0.3459	0.2721	-0.4891	0.1793	-0.3172	-1.4514
ABCC5	10057	-0.1005	-0.1837	-1.2472	0.41	-0.8999	-0.5588	0.9562	0.4914	0.2143	-1.5057
ABCC6	368	0.9773	-0.2168	-2.4036	-0.311	1.0272	0.0773	-0.701	0.4261	0.7778	-2.4194
ABCC6P1	653190	1.126	-0.5451	-1.9339	1.1074	0.8002	0.5577	-0.4876	0.216	0.2738	-2.4383
ABCC6P2	730013	1.2715	-0.096	-1.0894	0.0625	-0.4209	-0.1528	-0.7247	-0.0961	-0.1393	-1.0598
ABCC8	6833	0.2645	0.7859	0.911	-0.968	0.2771	-1.6729	-0.0248	0.9524	0.7881	-2.0256
ABCC9	10060	-0.3353	-0.3326	-0.128	-0.2955	-0.0549	1.0592	-0.3597	0.2874	-0.429	-1.8519
ABCD1	215	-0.2629	1.141	2.2116	-1.3595	-0.2101	-0.2152	0.0245	0.6741	-0.7593	0.1943
ABCD2	225	-0.043	-0.1305	-1.1792	0.4082	-0.7144	-0.0936	-0.4068	0.6559	-0.7872	-0.5145
ABCD3	5825	0.0705	-0.0987	-1.6107	-0.0371	-0.6401	1.4798	-1.5384	0.6303	-0.7234	-3.8631
ABCD4	5826	0.1326	0.2467	-1.4327	-0.3842	0.2817	-0.9284	-0.1821	-0.1361	0.3197	-1.0172
ABCE1	6059	-2.0112	-1.7222	-0.1544	0.3398	-0.4684	0.3922	-1.2663	-0.3632	-0.7351	-0.4247
ABCF1	23	-1.0151	-0.8778	-0.0189	0.2219	0.486	0.0463	-0.033	0.8412	0.4732	-0.4343
ABCF2	10061	-0.6049	-1.5347	1.1211	0.7137	0.2633	0.6529	0.0369	0.3875	-0.0165	0.9298
ABCF3	55324	-0.4116	-0.9413	0.8512	1.1195	0.0864	0.1032	-0.5984	-0.4879	0.6564	0.49
ABCG1	9619	0.9989	0.9126	-1.7999	-1.3934	-1.2903	-1.499	0.5268	-0.4138	0.9996	0.4393
ABCG2	9429	0.3089	-0.1746	-0.4833	-0.1437	-0.3908	-0.2704	0.1435	-0.467	-0.7625	-1.744
ABCG4	64137	-0.0817	-0.2992	-0.6645	0.3013	0.2218	-0.5699	-0.107	0.3095	-0.4195	-0.3614
ABCG5	64240	0.6661	-0.4821	-1.7295	-0.0063	0.1019	-0.9256	-0.0754	2.2417	-0.5849	-1.7295
ABCG8	64241	0.4859	-1.5875	-1.5875	0.5907	-1.5875	-0.421	0.6827	2.1069	-0.5122	-1.5875
ABHD10	55347	-0.4705	-0.7805	0.8618	0.5485	-0.9766	-0.6774	-0.8152	-0.4497	-0.4993	0.1408
ABHD11	83451	0.8138	1.113	1.172	0.3663	-0.2706	0.0214	0.501	0.2045	1.4284	1.2768
ABHD12	26090	1.3083	1.0019	2.3337	-1.0175	0.7204	-0.1276	-0.4772	-0.0192	-0.4979	-0.5487
ABHD12B	145447	-0.8421	0.1325	-0.026	-0.4903	0.8381	0.6982	-0.732	0.5297	-0.2611	-0.1804
ABHD13	84945	-0.9984	-0.9119	0.0473	1.1464	-0.3027	0.7407	-0.1676	0.743	-0.0975	-1.9382
ABHD14A	25864	0.3419	0.6623	0.8378	-1.3552	0.0928	-0.3472	0.1637	0.0393	0.2622	-2.0349
ABHD14B	84836	1.629	0.2539	-1.399	-0.2836	-0.5766	-0.0684	1.0678	-0.7212	1.7268	0.2455
ABHD15	116236	0.2558	-0.1007	-0.9021	-0.0203	-0.2141	0.1578	-0.1256	-0.0844	-0.0212	-0.3251
ABHD1	84696	-0.5348	-0.7266	-0.4987	0.1629	-1.8277	-0.407	1.3541	-0.7753	-1.3486	0.4584
ABHD2	11057	1.5432	0.4266	-1.7968	-0.0707	0.2942	0.156	-0.6001	0.0786	0.1409	-0.3405
ABHD3	171586	0.0332	-0.0966	-0.8507	0.869	-0.2692	-0.516	0.308	-0.1685	0.9184	-1.4803
ABHD4	63874	1.2097	0.8798	-0.3296	0.3463	0.9118	-0.3607	1.1331	-0.6906	0.1836	-0.6342
ABHD5	51099	0.2804	0.1781	0.6347	-0.6666	0.387	1.245	-0.2509	0.1736	-0.3327	1.0766
ABHD6	57406	0.8782	0.8321	-1.051	-0.9146	-0.6471	0.6357	-0.0175	-0.1156	0.0412	-1.4946
ABHD8	79575	-0.3811	0.1557	-0.068	-0.9831	0.7191	0.0824	0.092	0.0523	0.1772	0.4839
ABI1	10006	0.3283	-0.0941	-0.5553	0.1335	0.0699	-1.1854	0.3716	-0.0255	0.4018	-1.4569
ABI2	10152	-0.1748	0.0571	-0.4103	0.3711	-0.3292	1.0403	-0.6351	-0.0471	-0.3792	1.577
ABI3	51225	0.1635	0.0582	-0.4058	-1.0863	0.4003	-0.6691	-0.1265	0.8653	-0.33	-0.6432
ABI3BP	25890	0.607	0.2406	-0.7378	-1.0061	-0.1025	0.2618	-0.8038	0.2457	-0.5095	-0.5799
ABL1	25	-0.8625	-0.586	-0.8451	0.1265	0.5502	0.2694	0.2516	-0.3476	-0.226	0.8344
ABL2	27	-1.2628	-1.2027	1.1025	-0.1172	-0.1697	0.2392	-0.0716	0.105	0.0291	0.6261
ABLIM1	3983	0.4688	0.5991	-2.8705	0.3822	-0.4723	0.0318	0.1068	0.0324	0.4828	-0.5791
ABLIM2	84448	-0.1657	1.6695	-1.5057	0.2732	0.4982	-0.8366	1.2783	-0.2016	-0.1334	2.6083
ABLIM3	22885	0.7779	0.2312	0.891	0.0596	0.1444	0.2802	0.6969	-0.3657	0.5895	-0.6491
ABO	28	-0.2249	-0.0419	-1.6825	0.5916	-0.8173	0.2176	1.8414	-0.2933	0.6477	-1.1167
ABP1	26	1.1727	1.07	-1.1801	0.1886	-0.127	0.7054	0.1819	0.2296	0.9588	-2.1429
ABR	29	0.4598	-0.4912	0.8551	-0.7927	0.1676	1.5217	0.2195	0.794	-0.4659	-0.3291
ABRA	137735	-1.4444	-1.4444	-1.4444	-1.4444	0.2329	-0.7322	-0.741	0.8824	-0.915	-0.9911
ABT1	29777	-0.6198	-2.467	-1.2468	-0.8685	-0.4852	-1.644	0.046	0.0648	-1.5977	-1.1385
ABTB1	80325	2.1746	-1.1651	0.3586	2.7718	0.1571	0.3747	0.3594	-0.3568	0.7235	0.7454
ABTB2	25841	1.5672	1.1951	-0.2615	-0.5177	0.9544	-0.008	0.2981	-0.2375	1.1149	-0.57
ACAA1	30	0.6088	0.8325	1.1026	-0.8472	0.113	0.9967	0.4651	0.5603	0.2892	-2.6526
ACAA2	10449	1.5503	0.5484	-2.4258	-1.4208	0.1294	-0.3187	-0.6096	-0.6017	0.9839	-1.5657
ACACA	31	-0.8381	0.4159	-0.2514	0.5311	0.0278	-1.1258	1.037	1.1884	0.3298	0.5114
ACACB	32	0.1804	-0.1316	-2.1618	-1.0821	0.0605	0.5601	-0.1932	0.3102	-0.2753	-1.1637
ACAD10	80724	0.3895	-0.7216	-1.796	-1.0313	0.5722	-0.2857	0.4421	0.3852	-0.5978	0.4552
ACAD11	84129	-0.341	0.8623	-0.4545	-0.0556	-0.2417	1.093	0.9689	-1.439	0.06	0.7098
ACAD8	27034	-0.1269	0.7555	-0.8012	-0.3077	0.1138	1.1027	0.9276	0.0043	-0.1438	-1.5829
ACAD9	28976	-0.864	-0.2282	1.4345	-0.7786	-0.0022	-1.067	-0.3903	-0.1874	0.7804	1.7954
ACADL	33	0.0341	0.6131	-1.7564	0.4302	1.4735	-0.1774	-0.8961	0.5022	0.7557	-1.6382
ACADM	34	0.1139	-0.5422	-1.1763	0.0914	0.2401	0.38	-0.1148	0.237	-1.0403	-2.4011
ACADS	35	2.0408	-0.1038	-1.8504	-0.898	0.16	0.6467	0.5506	0.1356	-0.4415	0.1236
ACADSB	36	-0.5526	-0.859	-2.2124	1.1765	-0.0678	-0.4706	0.3585	-0.1761	-0.1192	-1.4405
ACADVL	37	0.2527	0.1687	0.274	-0.161	0.195	0.8594	-0.5294	0.2817	0.2067	-0.7801
ACAN	176	-0.5639	-1.7486	-0.8739	1.4044	1.0242	-0.8827	1.028	0.535	0.0621	-0.6975
ACAP1	9744	0.2687	0.2175	-0.7845	-0.2368	0.2997	0.2481	-0.3172	0.5748	-0.6617	0.6436
ACAP2	23527	-0.4727	-0.9966	0.0784	0.7221	-0.4464	0.1032	0.0844	0.104	-0.8189	-1.0211
ACAP3	116983	-0.3422	0.3837	1.7662	-0.2299	0.0034	-0.8167	0.3418	0.9831	-0.1645	-0.8377
ACAT1	38	-0.3657	-0.1087	-0.5343	-0.2172	1.2085	-0.5361	-0.7717	-0.3581	0.05	-1.0273
ACAT2	39	0.1004	2.1057	1.2724	-0.6823	0.7519	-1.2691	-0.0303	1.4688	0.8872	-1.2377
ACBD3	64746	-1.0245	0.1695	0.5327	0.2713	-0.5301	0.6553	0.2234	0.1389	0.1652	-1.3449
ACBD4	79777	0.6028	0.3626	-1.576	-0.3989	-0.0125	0.0497	0.6214	-0.3455	0.6994	1.6131
ACBD5	91452	0.3045	-0.017	-0.25	0.0768	0.2278	-1.0747	0.427	-0.1288	0.5634	-3.2257
ACBD6	84320	-0.1577	-0.1966	1.2349	1.9291	0.2416	0.6053	1.1206	0.1536	0.2232	1.9117
ACBD7	414149	0.0463	1.0858	-0.2851	-0.7464	0.22	-0.6059	-1.3744	-0.3118	-0.6542	1.2927
ACCN1	40	-0.6527	0.4596	0.2465	-1.7686	0.5212	-1.7686	-0.0272	0.5803	-0.0376	-1.3855
ACCN2	41	-0.5823	-1.0173	0.6067	0.7786	-0.6286	0.7138	-0.3605	-0.922	-0.5682	-1.5443
ACCN3	9311	-0.0844	-0.0085	-0.3498	0.9636	-0.4792	0.6911	-0.4854	-0.4871	0.626	1.1095
ACCN4	55515	-0.0932	-0.5342	-0.684	0.5839	-1.0406	1.3657	-0.396	-0.676	-0.9062	1.2568
ACCN5	51802	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898	-0.8898
ACCS	84680	0.8188	0.0226	-1.8271	0.0349	-0.3913	-0.492	1.3854	0.4672	1.3524	1.5119
ACCSL	390110	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805	-5.3805
ACD	65057	0.4443	0.0381	0.098	-0.7817	0.3778	-0.0061	0.1189	-0.0372	0.0275	3.1146
ACE	1636	0.5931	0.0974	-1.6686	0.7359	0.0977	0.7823	0.821	0.7264	0.2677	-2.7724
ACE2	59272	1.0144	0.5351	-0.7946	0.8988	-0.4406	0.8207	-1.3202	0.98	0.5887	-1.3736
ACER1	125981	-0.0318	-1.5683	-1.5683	1.4563	-1.5683	-0.4709	-1.5683	-0.8838	-0.7525	-1.5683
ACER2	340485	2.1291	1.1539	-1.6582	0.0995	0.328	-0.0487	-0.3659	-0.145	0.7875	-0.6366
ACER3	55331	0.2655	1.0908	-0.8917	0.0547	-0.5921	-0.8689	0.1142	0.8489	0.1895	-0.9037
ACHE	43	0.7132	0.8384	-2.0308	-0.8672	-0.1895	-0.4744	0.4568	1.0664	1.7642	-0.4852
ACIN1	22985	0.3265	-0.3749	0.0243	-0.359	-0.3851	-0.9131	0.8738	0.7595	0.6094	-1.4882
ACLY	47	-0.4378	0.405	-0.1067	0.101	0.3508	-0.8134	-0.2771	0.2585	0.8183	-1.2225
ACMSD	130013	0.9845	-0.0227	-1.234	-0.8377	-1.0563	1.1542	-0.7148	1.0057	-0.1626	-1.5395
ACN9	57001	-1.0276	-0.9481	-0.0374	0.5228	-0.0335	0.2121	0.0365	-0.7813	-1.5535	-2.3023
ACO1	48	0.5214	-0.225	-0.2111	-1.2666	1.2334	-0.3814	0.6056	-0.865	0.7992	-1.1274
ACO2	50	0.0968	0.0337	-1.1723	-1.1949	0.3655	-0.1273	0.979	-0.955	-1.4741	-1.1491
ACOT11	26027	1.929	0.1432	0.5299	0.8457	-0.1114	1.2229	1.0851	0.707	0.223	1.1164
ACOT12	134526	-1.8194	-1.8194	-1.8194	-1.8194	-1.8194	-1.8194	-1.8194	-1.8194	-0.666	-1.8194
ACOT13	55856	0.1953	-0.9572	0.0688	0.1961	-0.0879	-1.6861	-0.5182	0.4227	-0.4427	-0.9268
ACOT1	641371	1.3936	-0.4	0.1776	0.5444	0.5439	0.1749	-0.4897	-0.8271	-0.211	-1.6662
ACOT2	10965	1.4892	-0.599	-0.6379	-0.8538	1.1448	-0.2777	0.1793	-0.1291	1.1553	-0.5957
ACOT4	122970	1.8472	0.7892	0.5397	1.0108	-0.8896	0.5666	0.0842	-0.9718	0.0684	-1.3146
ACOT6	641372	-0.4915	-0.6613	-2.1392	0.4207	0.6325	-2.1392	0.3952	-0.3866	0.6586	-1.3902
ACOT7	11332	1.6472	0.6078	1.8922	0.3757	0.2382	-1.772	-0.2763	1.1584	0.2873	0.2069
ACOT8	10005	0.1262	-0.5719	1.0917	-1.429	-0.2709	-0.1134	-0.4581	-0.322	-0.5069	-0.0277
ACOT9	23597	0.5086	-0.1401	-0.0914	0.798	0.4028	-0.1827	0.16	0.0227	0.5314	0.8451
ACOX1	51	0.7321	-0.3413	-2.2266	-1.5314	0.1596	0.3765	-1.5058	0.2781	1.2071	-1.3734
ACOX2	8309	0.1262	0.1876	-0.6322	0.0597	0.018	1.5287	0.299	0.7722	-0.7858	-1.0789
ACOX3	8310	0.5687	0.5638	-0.6193	-1.6542	0.7631	0.1589	-0.0359	0.2818	1.1117	0.15
ACOXL	55289	-0.7237	0.8459	-0.5497	-0.3602	0.5766	0.4174	0.1051	0.9233	-0.8271	0.526
ACP1	52	-0.4421	-1.3744	0.0122	0.1362	0.475	-0.0411	-1.1186	-0.8639	0.0491	-0.2117
ACP2	53	0.2483	-0.2355	0.3408	-0.2213	0.7166	-0.7274	-0.3995	0.6561	-0.0878	-0.3788
ACP5	54	-0.054	-0.0272	-0.4139	0.1791	-0.2493	0.1179	1.1677	0.6108	-0.0381	-0.3065
ACP6	51205	0.4148	-0.0908	1.4637	1.4	0.108	0.1452	1.4739	0.2031	0.9983	-0.088
ACPL2	92370	0.427	-0.1704	0.283	0.4942	0.4594	1.1293	-0.2646	-0.421	0.5048	-1.0447
ACPP	55	-0.8497	0.915	-0.7543	-0.5896	-0.0098	-0.4672	-0.1442	1.1588	1.0247	-1.9479
ACPT	93650	-2.3438	-2.3438	-2.3438	-2.3438	-2.3438	-2.3438	-2.3438	-2.3438	-0.6011	-0.8516
ACR	49	-0.0867	-0.6161	1.7536	-0.1353	-0.7917	-0.1362	0.2339	-0.8	-1.5227	-1.1559
ACRBP	84519	-0.1237	0.1305	-0.7262	-0.9321	-0.3313	-0.783	-0.1808	1.181	-0.1332	0.9294
ACRC	93953	-0.5173	0.116	-0.2176	-0.2609	-0.4131	1.1422	-0.7973	0.509	-0.703	-0.0449
ACRV1	56	0.2145	0.056	1.469	0.1739	-1.5897	-1.5897	-0.7889	0.934	0.0921	-0.0948
ACSBG1	23205	-0.3375	-0.5362	-1.1978	0.3643	-1.3027	0.7797	-0.3468	-0.2869	-0.3976	-0.398
ACSBG2	81616	-1.4741	0.1304	-1.4741	-0.1717	-1.4741	0.9906	0.9688	-0.4212	-0.2429	-0.0269
ACSF2	80221	0.1536	0.2029	-0.4988	-0.0783	0.0911	0.8265	-0.3006	-0.0176	-0.4656	1.2138
ACSF3	197322	0.3204	-0.7385	-1.2483	1.0148	-0.0984	-0.0776	0.4053	-0.1899	-0.2046	1.0974
ACSL1	2180	0.1404	0.29	-1.0259	-1.2094	-0.146	1.2292	0.0517	-0.1999	-0.1775	1.5444
ACSL3	2181	-0.5695	0.1683	-0.8931	1.206	-0.9937	-0.7703	0.4764	0.5512	0.3365	0.1533
ACSL4	2182	-1.3013	1.2511	-0.0215	-0.8578	0.0536	-0.1416	-0.2101	0.3966	-0.0164	-1.0808
ACSL5	51703	0.8019	0.6338	-0.1501	0.7965	-0.6551	0.4516	1.2942	-0.1964	0.64	-0.7463
ACSL6	23305	-0.3177	-0.2478	-0.3504	-0.4004	-0.0122	-0.7053	-0.5306	0.1308	0.4117	-0.1157
ACSM1	116285	0.6714	1.4168	-1.7649	-0.107	1.0065	-0.5223	0.5682	0.0531	1.5668	0.6213
